externalId,lat,lng,prefectureSlug,address,sourceUrl
osm:w934647004,31.2554879,130.4396765,kagoshima,,https://www.openstreetmap.org/way/934647004
osm:w956576613,33.2487764,131.6385969,oita,,https://www.openstreetmap.org/way/956576613
osm:w966896457,40.8018431,140.3996304,aomori,,https://www.openstreetmap.org/way/966896457
osm:w966896458,40.8022395,140.402319,aomori,,https://www.openstreetmap.org/way/966896458
osm:w968034482,35.4548544,140.3068254,chiba,,https://www.openstreetmap.org/way/968034482
osm:w975138129,35.4115452,136.7507174,gifu,,https://www.openstreetmap.org/way/975138129
osm:w995249527,35.5078779,139.6994706,kanagawa,,https://www.openstreetmap.org/way/995249527
osm:w995249605,35.5076587,139.6996108,kanagawa,,https://www.openstreetmap.org/way/995249605
osm:w996752589,38.2272126,140.314188,yamagata,,https://www.openstreetmap.org/way/996752589
osm:w1000070014,35.7538241,140.8116674,ibaraki,,https://www.openstreetmap.org/way/1000070014
osm:w1006551555,34.5587865,135.5507662,osaka,,https://www.openstreetmap.org/way/1006551555
osm:w1006551568,34.5584889,135.5497322,osaka,,https://www.openstreetmap.org/way/1006551568
osm:w1007553442,35.397199,139.4667613,kanagawa,,https://www.openstreetmap.org/way/1007553442
osm:w1024385820,36.5096852,139.8757048,tochigi,,https://www.openstreetmap.org/way/1024385820
osm:w1024738957,34.6318984,136.1107995,nara,,https://www.openstreetmap.org/way/1024738957
osm:w1026371402,35.3652516,139.3605066,kanagawa,,https://www.openstreetmap.org/way/1026371402
osm:w1026494313,36.4506512,139.9644187,tochigi,,https://www.openstreetmap.org/way/1026494313
osm:w1026911202,35.5186737,133.2472517,shimane,,https://www.openstreetmap.org/way/1026911202
osm:w1036617219,35.5203153,133.2467032,shimane,,https://www.openstreetmap.org/way/1036617219
osm:w1061491420,34.8322648,135.2278763,hyogo,,https://www.openstreetmap.org/way/1061491420
osm:w1064085290,26.3390493,127.8498111,okinawa,,https://www.openstreetmap.org/way/1064085290
osm:w1070676956,37.0432665,140.8609899,fukushima,,https://www.openstreetmap.org/way/1070676956
osm:w1073239860,39.3070393,140.5595675,akita,,https://www.openstreetmap.org/way/1073239860
